dataset=AIME24 model=/mnt/docker_data/v4-converted/v4-prune50-keep128 total=30 resumed=0 pending=30 workers=1 run=71c0f954e99219c4
question=1/30 repeat=1/1 correct=yes latency=19.82s completion_tokens=2233 token_ps=112.65 progress=1/30 failures=0
question=2/30 repeat=1/1 correct=yes latency=30.97s completion_tokens=3522 token_ps=113.73 progress=2/30 failures=0
question=3/30 repeat=1/1 correct=no latency=88.03s completion_tokens=10026 token_ps=113.90 progress=3/30 failures=0
question=4/30 repeat=1/1 correct=no latency=289.24s completion_tokens=32768 token_ps=113.29 progress=4/30 failures=0
question=5/30 repeat=1/1 correct=yes latency=38.56s completion_tokens=4388 token_ps=113.81 progress=5/30 failures=0
question=6/30 repeat=1/1 correct=yes latency=36.25s completion_tokens=4129 token_ps=113.92 progress=6/30 failures=0
question=7/30 repeat=1/1 correct=yes latency=45.69s completion_tokens=5207 token_ps=113.97 progress=7/30 failures=0
question=8/30 repeat=1/1 correct=yes latency=10.79s completion_tokens=1222 token_ps=113.23 progress=8/30 failures=0
question=9/30 repeat=1/1 correct=yes latency=41.08s completion_tokens=4680 token_ps=113.93 progress=9/30 failures=0
question=10/30 repeat=1/1 correct=yes latency=7.87s completion_tokens=870 token_ps=110.51 progress=10/30 failures=0
question=11/30 repeat=1/1 correct=yes latency=50.89s completion_tokens=5796 token_ps=113.89 progress=11/30 failures=0
question=12/30 repeat=1/1 correct=yes latency=44.68s completion_tokens=5088 token_ps=113.87 progress=12/30 failures=0
question=13/30 repeat=1/1 correct=yes latency=14.96s completion_tokens=1702 token_ps=113.77 progress=13/30 failures=0
question=14/30 repeat=1/1 correct=no latency=288.69s completion_tokens=32768 token_ps=113.51 progress=14/30 failures=0
question=15/30 repeat=1/1 correct=yes latency=203.84s completion_tokens=23185 token_ps=113.74 progress=15/30 failures=0
question=16/30 repeat=1/1 correct=yes latency=17.33s completion_tokens=1973 token_ps=113.83 progress=16/30 failures=0
question=17/30 repeat=1/1 correct=yes latency=47.12s completion_tokens=5371 token_ps=113.99 progress=17/30 failures=0
question=18/30 repeat=1/1 correct=yes latency=21.36s completion_tokens=2433 token_ps=113.92 progress=18/30 failures=0
question=19/30 repeat=1/1 correct=yes latency=145.69s completion_tokens=16592 token_ps=113.89 progress=19/30 failures=0
question=20/30 repeat=1/1 correct=yes latency=26.43s completion_tokens=3010 token_ps=113.89 progress=20/30 failures=0
question=21/30 repeat=1/1 correct=yes latency=158.79s completion_tokens=18071 token_ps=113.80 progress=21/30 failures=0
question=22/30 repeat=1/1 correct=no latency=288.64s completion_tokens=32768 token_ps=113.53 progress=22/30 failures=0
question=23/30 repeat=1/1 correct=yes latency=53.77s completion_tokens=6074 token_ps=112.95 progress=23/30 failures=0
question=24/30 repeat=1/1 correct=yes latency=14.49s completion_tokens=1647 token_ps=113.64 progress=24/30 failures=0
question=25/30 repeat=1/1 correct=yes latency=22.63s completion_tokens=2561 token_ps=113.16 progress=25/30 failures=0
question=26/30 repeat=1/1 correct=yes latency=181.84s completion_tokens=20477 token_ps=112.61 progress=26/30 failures=0
question=27/30 repeat=1/1 correct=yes latency=17.75s completion_tokens=2021 token_ps=113.89 progress=27/30 failures=0
question=28/30 repeat=1/1 correct=yes latency=35.13s completion_tokens=4003 token_ps=113.95 progress=28/30 failures=0
question=29/30 repeat=1/1 correct=yes latency=134.65s completion_tokens=15060 token_ps=111.85 progress=29/30 failures=0
question=30/30 repeat=1/1 correct=no latency=85.30s completion_tokens=9705 token_ps=113.78 progress=30/30 failures=0
AIME24: 83.33% (25 / 30); output=results/easyep_reproduction/v4flash_aime24_32768_highspeed_01/prune50/evaluation/AIME24.jsonl
