dataset=AIME24 model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=30 resumed=4 pending=26 workers=1 run=1b07c01c74aaaa4a
question=5/30 repeat=1/1 correct=yes latency=95.44s completion_tokens=10883 avg_completion_tokens_per_second=114.03 progress=5/30 failures=0
question=6/30 repeat=1/1 correct=yes latency=49.82s completion_tokens=5674 avg_completion_tokens_per_second=113.88 progress=6/30 failures=0
question=7/30 repeat=1/1 correct=yes latency=123.15s completion_tokens=14048 avg_completion_tokens_per_second=114.07 progress=7/30 failures=0
question=8/30 repeat=1/1 correct=yes latency=16.33s completion_tokens=1859 avg_completion_tokens_per_second=113.87 progress=8/30 failures=0
question=9/30 repeat=1/1 correct=yes latency=37.04s completion_tokens=4218 avg_completion_tokens_per_second=113.87 progress=9/30 failures=0
question=10/30 repeat=1/1 correct=yes latency=14.87s completion_tokens=1688 avg_completion_tokens_per_second=113.55 progress=10/30 failures=0
question=11/30 repeat=1/1 correct=yes latency=166.76s completion_tokens=19023 avg_completion_tokens_per_second=114.07 progress=11/30 failures=0
question=12/30 repeat=1/1 correct=yes latency=20.16s completion_tokens=2297 avg_completion_tokens_per_second=113.91 progress=12/30 failures=0
question=13/30 repeat=1/1 correct=yes latency=37.99s completion_tokens=4339 avg_completion_tokens_per_second=114.20 progress=13/30 failures=0
question=14/30 repeat=1/1 correct=no latency=287.74s completion_tokens=32768 avg_completion_tokens_per_second=113.88 progress=14/30 failures=0
question=15/30 repeat=1/1 correct=no latency=288.14s completion_tokens=32768 avg_completion_tokens_per_second=113.72 progress=15/30 failures=0
question=16/30 repeat=1/1 correct=yes latency=22.29s completion_tokens=2544 avg_completion_tokens_per_second=114.11 progress=16/30 failures=0
question=17/30 repeat=1/1 correct=yes latency=77.49s completion_tokens=8856 avg_completion_tokens_per_second=114.29 progress=17/30 failures=0
question=18/30 repeat=1/1 correct=yes latency=45.23s completion_tokens=5133 avg_completion_tokens_per_second=113.49 progress=18/30 failures=0
question=19/30 repeat=1/1 correct=yes latency=121.09s completion_tokens=13804 avg_completion_tokens_per_second=114.00 progress=19/30 failures=0
question=20/30 repeat=1/1 correct=yes latency=36.73s completion_tokens=4117 avg_completion_tokens_per_second=112.10 progress=20/30 failures=0
question=21/30 repeat=1/1 correct=yes latency=208.73s completion_tokens=23769 avg_completion_tokens_per_second=113.88 progress=21/30 failures=0
question=22/30 repeat=1/1 correct=no latency=287.79s completion_tokens=32768 avg_completion_tokens_per_second=113.86 progress=22/30 failures=0
question=23/30 repeat=1/1 correct=yes latency=65.55s completion_tokens=7488 avg_completion_tokens_per_second=114.23 progress=23/30 failures=0
question=24/30 repeat=1/1 correct=yes latency=18.98s completion_tokens=2163 avg_completion_tokens_per_second=113.97 progress=24/30 failures=0
question=25/30 repeat=1/1 correct=yes latency=11.68s completion_tokens=1327 avg_completion_tokens_per_second=113.65 progress=25/30 failures=0
question=26/30 repeat=1/1 correct=yes latency=248.33s completion_tokens=28303 avg_completion_tokens_per_second=113.97 progress=26/30 failures=0
question=27/30 repeat=1/1 correct=yes latency=27.20s completion_tokens=3107 avg_completion_tokens_per_second=114.24 progress=27/30 failures=0
question=28/30 repeat=1/1 correct=yes latency=67.11s completion_tokens=7669 avg_completion_tokens_per_second=114.28 progress=28/30 failures=0
question=29/30 repeat=1/1 correct=yes latency=214.28s completion_tokens=24259 avg_completion_tokens_per_second=113.21 progress=29/30 failures=0
question=30/30 repeat=1/1 correct=yes latency=130.34s completion_tokens=14877 avg_completion_tokens_per_second=114.14 progress=30/30 failures=0
AIME24: 86.67% (26 / 30); output=results/easyep_reproduction/v4flash_aime24_32768_highspeed_01/full/evaluation/AIME24.jsonl
