[full] evaluating gpqa
dataset=gpqa model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=249 resumed=0 pending=249 workers=1 run=60072d63f26d6b66
question=1/249 repeat=1/1 correct=yes latency=64.03s completion_tokens=7302 token_ps=114.04 progress=1/249 failures=0
question=2/249 repeat=1/1 correct=yes latency=15.76s completion_tokens=1793 token_ps=113.76 progress=2/249 failures=0
question=3/249 repeat=1/1 correct=no latency=16.98s completion_tokens=1924 token_ps=113.31 progress=3/249 failures=0
question=4/249 repeat=1/1 correct=no latency=62.42s completion_tokens=7130 token_ps=114.23 progress=4/249 failures=0
question=5/249 repeat=1/1 correct=yes latency=27.23s completion_tokens=3104 token_ps=114.00 progress=5/249 failures=0
question=6/249 repeat=1/1 correct=no latency=1.61s completion_tokens=166 token_ps=103.22 progress=6/249 failures=0
question=7/249 repeat=1/1 correct=yes latency=5.58s completion_tokens=622 token_ps=111.43 progress=7/249 failures=0
question=8/249 repeat=1/1 correct=yes latency=8.97s completion_tokens=1015 token_ps=113.15 progress=8/249 failures=0
question=9/249 repeat=1/1 correct=no latency=11.72s completion_tokens=1331 token_ps=113.58 progress=9/249 failures=0
question=10/249 repeat=1/1 correct=yes latency=162.34s completion_tokens=18415 token_ps=113.43 progress=10/249 failures=0
question=11/249 repeat=1/1 correct=yes latency=17.76s completion_tokens=2025 token_ps=114.05 progress=11/249 failures=0
question=12/249 repeat=1/1 correct=yes latency=18.51s completion_tokens=2114 token_ps=114.18 progress=12/249 failures=0
question=13/249 repeat=1/1 correct=yes latency=14.13s completion_tokens=1607 token_ps=113.70 progress=13/249 failures=0
question=14/249 repeat=1/1 correct=yes latency=4.08s completion_tokens=443 token_ps=108.64 progress=14/249 failures=0
question=15/249 repeat=1/1 correct=no latency=287.60s completion_tokens=32768 token_ps=113.93 progress=15/249 failures=0
question=16/249 repeat=1/1 correct=no latency=11.78s completion_tokens=1339 token_ps=113.64 progress=16/249 failures=0
question=17/249 repeat=1/1 correct=yes latency=33.12s completion_tokens=3782 token_ps=114.20 progress=17/249 failures=0
question=18/249 repeat=1/1 correct=yes latency=249.81s completion_tokens=28470 token_ps=113.97 progress=18/249 failures=0
question=19/249 repeat=1/1 correct=yes latency=1.64s completion_tokens=170 token_ps=103.73 progress=19/249 failures=0
question=20/249 repeat=1/1 correct=yes latency=29.26s completion_tokens=3340 token_ps=114.14 progress=20/249 failures=0
question=21/249 repeat=1/1 correct=yes latency=3.24s completion_tokens=352 token_ps=108.73 progress=21/249 failures=0
question=22/249 repeat=1/1 correct=yes latency=8.43s completion_tokens=952 token_ps=112.92 progress=22/249 failures=0
question=23/249 repeat=1/1 correct=yes latency=41.69s completion_tokens=4755 token_ps=114.06 progress=23/249 failures=0
question=24/249 repeat=1/1 correct=yes latency=16.91s completion_tokens=1929 token_ps=114.07 progress=24/249 failures=0
question=25/249 repeat=1/1 correct=no latency=3.48s completion_tokens=382 token_ps=109.66 progress=25/249 failures=0
question=26/249 repeat=1/1 correct=no latency=155.74s completion_tokens=17775 token_ps=114.14 progress=26/249 failures=0
question=27/249 repeat=1/1 correct=yes latency=112.00s completion_tokens=12750 token_ps=113.84 progress=27/249 failures=0
question=28/249 repeat=1/1 correct=yes latency=16.28s completion_tokens=1854 token_ps=113.89 progress=28/249 failures=0
question=29/249 repeat=1/1 correct=yes latency=8.60s completion_tokens=972 token_ps=113.03 progress=29/249 failures=0
question=30/249 repeat=1/1 correct=no latency=282.68s completion_tokens=32207 token_ps=113.93 progress=30/249 failures=0
question=31/249 repeat=1/1 correct=yes latency=2.85s completion_tokens=309 token_ps=108.47 progress=31/249 failures=0
question=32/249 repeat=1/1 correct=yes latency=2.37s completion_tokens=255 token_ps=107.67 progress=32/249 failures=0
question=33/249 repeat=1/1 correct=yes latency=6.93s completion_tokens=780 token_ps=112.50 progress=33/249 failures=0
question=34/249 repeat=1/1 correct=no latency=94.48s completion_tokens=10781 token_ps=114.11 progress=34/249 failures=0
question=35/249 repeat=1/1 correct=no latency=7.25s completion_tokens=816 token_ps=112.56 progress=35/249 failures=0
question=36/249 repeat=1/1 correct=no latency=69.75s completion_tokens=7822 token_ps=112.15 progress=36/249 failures=0
question=37/249 repeat=1/1 correct=yes latency=39.45s completion_tokens=4388 token_ps=111.22 progress=37/249 failures=0
question=38/249 repeat=1/1 correct=yes latency=30.15s completion_tokens=3426 token_ps=113.62 progress=38/249 failures=0
question=39/249 repeat=1/1 correct=yes latency=254.46s completion_tokens=28984 token_ps=113.90 progress=39/249 failures=0
question=40/249 repeat=1/1 correct=yes latency=116.50s completion_tokens=13247 token_ps=113.71 progress=40/249 failures=0
question=41/249 repeat=1/1 correct=yes latency=2.98s completion_tokens=325 token_ps=108.99 progress=41/249 failures=0
question=42/249 repeat=1/1 correct=yes latency=178.82s completion_tokens=20402 token_ps=114.09 progress=42/249 failures=0
question=43/249 repeat=1/1 correct=yes latency=3.12s completion_tokens=341 token_ps=109.13 progress=43/249 failures=0
question=44/249 repeat=1/1 correct=yes latency=37.99s completion_tokens=4340 token_ps=114.25 progress=44/249 failures=0
question=45/249 repeat=1/1 correct=no latency=123.35s completion_tokens=14076 token_ps=114.11 progress=45/249 failures=0
question=46/249 repeat=1/1 correct=no latency=288.33s completion_tokens=32768 token_ps=113.65 progress=46/249 failures=0
question=47/249 repeat=1/1 correct=yes latency=64.71s completion_tokens=7388 token_ps=114.17 progress=47/249 failures=0
question=48/249 repeat=1/1 correct=yes latency=5.61s completion_tokens=628 token_ps=111.96 progress=48/249 failures=0
question=49/249 repeat=1/1 correct=yes latency=28.28s completion_tokens=3229 token_ps=114.17 progress=49/249 failures=0
question=50/249 repeat=1/1 correct=no latency=203.91s completion_tokens=23187 token_ps=113.71 progress=50/249 failures=0
question=51/249 repeat=1/1 correct=yes latency=16.93s completion_tokens=1928 token_ps=113.87 progress=51/249 failures=0
question=52/249 repeat=1/1 correct=yes latency=54.05s completion_tokens=6139 token_ps=113.58 progress=52/249 failures=0
question=53/249 repeat=1/1 correct=yes latency=35.02s completion_tokens=3996 token_ps=114.11 progress=53/249 failures=0
question=54/249 repeat=1/1 correct=no latency=287.43s completion_tokens=32768 token_ps=114.00 progress=54/249 failures=0
question=55/249 repeat=1/1 correct=yes latency=76.96s completion_tokens=8787 token_ps=114.17 progress=55/249 failures=0
question=56/249 repeat=1/1 correct=yes latency=19.64s completion_tokens=2239 token_ps=113.99 progress=56/249 failures=0
question=57/249 repeat=1/1 correct=yes latency=35.43s completion_tokens=4043 token_ps=114.10 progress=57/249 failures=0
question=58/249 repeat=1/1 correct=yes latency=66.25s completion_tokens=7567 token_ps=114.21 progress=58/249 failures=0
question=59/249 repeat=1/1 correct=no latency=12.61s completion_tokens=1433 token_ps=113.60 progress=59/249 failures=0
question=60/249 repeat=1/1 correct=yes latency=30.53s completion_tokens=3487 token_ps=114.20 progress=60/249 failures=0
question=61/249 repeat=1/1 correct=yes latency=6.00s completion_tokens=670 token_ps=111.65 progress=61/249 failures=0
question=62/249 repeat=1/1 correct=no latency=12.75s completion_tokens=1449 token_ps=113.65 progress=62/249 failures=0
question=63/249 repeat=1/1 correct=yes latency=77.04s completion_tokens=8788 token_ps=114.07 progress=63/249 failures=0
question=64/249 repeat=1/1 correct=yes latency=7.42s completion_tokens=837 token_ps=112.74 progress=64/249 failures=0
question=65/249 repeat=1/1 correct=yes latency=60.38s completion_tokens=6893 token_ps=114.16 progress=65/249 failures=0
question=66/249 repeat=1/1 correct=yes latency=1.93s completion_tokens=204 token_ps=105.45 progress=66/249 failures=0
question=67/249 repeat=1/1 correct=no latency=288.28s completion_tokens=32768 token_ps=113.67 progress=67/249 failures=0
question=68/249 repeat=1/1 correct=yes latency=114.86s completion_tokens=13110 token_ps=114.14 progress=68/249 failures=0
question=69/249 repeat=1/1 correct=yes latency=9.16s completion_tokens=1037 token_ps=113.16 progress=69/249 failures=0
question=70/249 repeat=1/1 correct=no latency=97.90s completion_tokens=11176 token_ps=114.16 progress=70/249 failures=0
question=71/249 repeat=1/1 correct=yes latency=17.35s completion_tokens=1979 token_ps=114.06 progress=71/249 failures=0
question=72/249 repeat=1/1 correct=yes latency=2.99s completion_tokens=327 token_ps=109.35 progress=72/249 failures=0
question=73/249 repeat=1/1 correct=no latency=168.04s completion_tokens=19089 token_ps=113.60 progress=73/249 failures=0
question=74/249 repeat=1/1 correct=no latency=12.45s completion_tokens=1416 token_ps=113.72 progress=74/249 failures=0
question=75/249 repeat=1/1 correct=no latency=101.74s completion_tokens=11605 token_ps=114.07 progress=75/249 failures=0
question=76/249 repeat=1/1 correct=no latency=14.21s completion_tokens=1618 token_ps=113.88 progress=76/249 failures=0
question=77/249 repeat=1/1 correct=yes latency=61.41s completion_tokens=7013 token_ps=114.20 progress=77/249 failures=0
question=78/249 repeat=1/1 correct=no latency=287.76s completion_tokens=32768 token_ps=113.87 progress=78/249 failures=0
question=79/249 repeat=1/1 correct=yes latency=22.84s completion_tokens=2605 token_ps=114.07 progress=79/249 failures=0
question=80/249 repeat=1/1 correct=yes latency=5.33s completion_tokens=590 token_ps=110.74 progress=80/249 failures=0
question=81/249 repeat=1/1 correct=yes latency=18.19s completion_tokens=2071 token_ps=113.87 progress=81/249 failures=0
question=82/249 repeat=1/1 correct=no latency=15.36s completion_tokens=1749 token_ps=113.90 progress=82/249 failures=0
question=83/249 repeat=1/1 correct=yes latency=18.23s completion_tokens=2077 token_ps=113.96 progress=83/249 failures=0
question=84/249 repeat=1/1 correct=yes latency=220.55s completion_tokens=25149 token_ps=114.03 progress=84/249 failures=0
question=85/249 repeat=1/1 correct=yes latency=9.67s completion_tokens=1095 token_ps=113.26 progress=85/249 failures=0
question=86/249 repeat=1/1 correct=yes latency=8.17s completion_tokens=922 token_ps=112.84 progress=86/249 failures=0
question=87/249 repeat=1/1 correct=yes latency=142.50s completion_tokens=16262 token_ps=114.12 progress=87/249 failures=0
question=88/249 repeat=1/1 correct=yes latency=8.46s completion_tokens=956 token_ps=112.95 progress=88/249 failures=0
