[full] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=101 resumed=0 pending=101 workers=1 run=f2a51cb2817eb101
question=1/101 repeat=1/1 correct=no latency=3.47s completion_tokens=369 token_ps=106.33 progress=1/101 failures=0
question=2/101 repeat=1/1 correct=unknown latency=89.29s completion_tokens=10194 token_ps=114.16 progress=2/101 failures=0
question=3/101 repeat=1/1 correct=no latency=48.64s completion_tokens=5547 token_ps=114.04 progress=3/101 failures=0
question=4/101 repeat=1/1 correct=unknown latency=111.14s completion_tokens=12684 token_ps=114.13 progress=4/101 failures=0
question=5/101 repeat=1/1 correct=no latency=21.65s completion_tokens=2464 token_ps=113.82 progress=5/101 failures=0
question=6/101 repeat=1/1 correct=unknown latency=20.58s completion_tokens=2348 token_ps=114.08 progress=6/101 failures=0
question=7/101 repeat=1/1 correct=unknown latency=6.20s completion_tokens=695 token_ps=112.14 progress=7/101 failures=0
question=8/101 repeat=1/1 correct=unknown latency=8.87s completion_tokens=1000 token_ps=112.78 progress=8/101 failures=0
question=9/101 repeat=1/1 correct=no latency=4.59s completion_tokens=506 token_ps=110.12 progress=9/101 failures=0
question=10/101 repeat=1/1 correct=unknown latency=47.79s completion_tokens=5454 token_ps=114.13 progress=10/101 failures=0
question=11/101 repeat=1/1 correct=unknown latency=65.79s completion_tokens=7509 token_ps=114.14 progress=11/101 failures=0
question=12/101 repeat=1/1 correct=unknown latency=260.09s completion_tokens=29648 token_ps=113.99 progress=12/101 failures=0
question=13/101 repeat=1/1 correct=no latency=2.88s completion_tokens=308 token_ps=106.80 progress=13/101 failures=0
question=14/101 repeat=1/1 correct=unknown latency=4.87s completion_tokens=543 token_ps=111.59 progress=14/101 failures=0
question=15/101 repeat=1/1 correct=unknown latency=3.16s completion_tokens=345 token_ps=109.22 progress=15/101 failures=0
question=16/101 repeat=1/1 correct=unknown latency=2.77s completion_tokens=301 token_ps=108.48 progress=16/101 failures=0
question=17/101 repeat=1/1 correct=unknown latency=9.05s completion_tokens=1024 token_ps=113.11 progress=17/101 failures=0
[full] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=101 resumed=0 pending=101 workers=1 run=4d6b1b18e67ed8a9
question=1/101 repeat=1/1 correct=yes latency=3.30s completion_tokens=293 token_ps=88.66 progress=1/101 failures=0
question=2/101 repeat=1/1 correct=unknown latency=137.96s completion_tokens=15663 token_ps=113.53 progress=2/101 failures=0
question=3/101 repeat=1/1 correct=yes latency=34.38s completion_tokens=3900 token_ps=113.45 progress=3/101 failures=0
question=4/101 repeat=1/1 correct=unknown latency=147.47s completion_tokens=16793 token_ps=113.88 progress=4/101 failures=0
question=5/101 repeat=1/1 correct=yes latency=13.27s completion_tokens=1496 token_ps=112.76 progress=5/101 failures=0
question=6/101 repeat=1/1 correct=unknown latency=19.88s completion_tokens=2262 token_ps=113.77 progress=6/101 failures=0
question=7/101 repeat=1/1 correct=unknown latency=8.22s completion_tokens=928 token_ps=112.85 progress=7/101 failures=0
question=8/101 repeat=1/1 correct=unknown latency=9.97s completion_tokens=1129 token_ps=113.26 progress=8/101 failures=0
question=9/101 repeat=1/1 correct=yes latency=7.12s completion_tokens=790 token_ps=110.90 progress=9/101 failures=0
question=10/101 repeat=1/1 correct=unknown latency=70.88s completion_tokens=8083 token_ps=114.04 progress=10/101 failures=0
question=11/101 repeat=1/1 correct=unknown latency=81.90s completion_tokens=9342 token_ps=114.06 progress=11/101 failures=0
[full] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/public_data/deepseek-ai/DeepSeek-V4-Flash total=101 resumed=0 pending=101 workers=1 run=94f0811e28b852ff
question=1/101 repeat=1/1 correct=yes latency=4.94s completion_tokens=517 token_ps=104.68 progress=1/101 failures=0
question=2/101 repeat=1/1 correct=yes latency=103.20s completion_tokens=11721 token_ps=113.58 progress=2/101 failures=0
question=3/101 repeat=1/1 correct=yes latency=12.78s completion_tokens=1435 token_ps=112.33 progress=3/101 failures=0
question=4/101 repeat=1/1 correct=yes latency=163.69s completion_tokens=18598 token_ps=113.62 progress=4/101 failures=0
question=5/101 repeat=1/1 correct=yes latency=33.82s completion_tokens=3843 token_ps=113.65 progress=5/101 failures=0
question=6/101 repeat=1/1 correct=yes latency=8.09s completion_tokens=905 token_ps=111.86 progress=6/101 failures=0
question=7/101 repeat=1/1 correct=yes latency=6.46s completion_tokens=718 token_ps=111.11 progress=7/101 failures=0
question=8/101 repeat=1/1 correct=yes latency=8.73s completion_tokens=981 token_ps=112.32 progress=8/101 failures=0
question=9/101 repeat=1/1 correct=yes latency=4.78s completion_tokens=516 token_ps=107.90 progress=9/101 failures=0
question=10/101 repeat=1/1 correct=yes latency=63.79s completion_tokens=7270 token_ps=113.97 progress=10/101 failures=0
question=11/101 repeat=1/1 correct=yes latency=57.87s completion_tokens=6596 token_ps=113.97 progress=11/101 failures=0
question=12/101 repeat=1/1 correct=no latency=287.93s completion_tokens=32768 token_ps=113.81 progress=12/101 failures=0
question=13/101 repeat=1/1 correct=yes latency=2.41s completion_tokens=231 token_ps=95.68 progress=13/101 failures=0
question=14/101 repeat=1/1 correct=yes latency=2.93s completion_tokens=310 token_ps=105.70 progress=14/101 failures=0
question=15/101 repeat=1/1 correct=yes latency=4.22s completion_tokens=459 token_ps=108.85 progress=15/101 failures=0
question=16/101 repeat=1/1 correct=yes latency=2.54s completion_tokens=263 token_ps=103.56 progress=16/101 failures=0
question=17/101 repeat=1/1 correct=yes latency=3.07s completion_tokens=329 token_ps=107.04 progress=17/101 failures=0
question=18/101 repeat=1/1 correct=no latency=287.74s completion_tokens=32768 token_ps=113.88 progress=18/101 failures=0
question=19/101 repeat=1/1 correct=yes latency=21.63s completion_tokens=2452 token_ps=113.34 progress=19/101 failures=0
question=20/101 repeat=1/1 correct=yes latency=16.71s completion_tokens=1894 token_ps=113.37 progress=20/101 failures=0
question=21/101 repeat=1/1 correct=yes latency=2.30s completion_tokens=230 token_ps=100.21 progress=21/101 failures=0
question=22/101 repeat=1/1 correct=yes latency=13.65s completion_tokens=1542 token_ps=112.97 progress=22/101 failures=0
question=23/101 repeat=1/1 correct=yes latency=4.30s completion_tokens=458 token_ps=106.51 progress=23/101 failures=0
question=24/101 repeat=1/1 correct=yes latency=16.36s completion_tokens=1855 token_ps=113.39 progress=24/101 failures=0
question=25/101 repeat=1/1 correct=yes latency=5.20s completion_tokens=567 token_ps=109.01 progress=25/101 failures=0
question=26/101 repeat=1/1 correct=yes latency=2.29s completion_tokens=237 token_ps=103.55 progress=26/101 failures=0
question=27/101 repeat=1/1 correct=yes latency=6.29s completion_tokens=695 token_ps=110.47 progress=27/101 failures=0
question=28/101 repeat=1/1 correct=yes latency=40.17s completion_tokens=4546 token_ps=113.17 progress=28/101 failures=0
question=29/101 repeat=1/1 correct=no latency=288.73s completion_tokens=32768 token_ps=113.49 progress=29/101 failures=0
question=30/101 repeat=1/1 correct=yes latency=1.48s completion_tokens=142 token_ps=95.88 progress=30/101 failures=0
question=31/101 repeat=1/1 correct=yes latency=2.08s completion_tokens=214 token_ps=102.86 progress=31/101 failures=0
question=32/101 repeat=1/1 correct=yes latency=3.47s completion_tokens=370 token_ps=106.56 progress=32/101 failures=0
question=33/101 repeat=1/1 correct=yes latency=3.84s completion_tokens=417 token_ps=108.63 progress=33/101 failures=0
question=34/101 repeat=1/1 correct=yes latency=16.83s completion_tokens=1910 token_ps=113.46 progress=34/101 failures=0
question=35/101 repeat=1/1 correct=yes latency=2.62s completion_tokens=277 token_ps=105.88 progress=35/101 failures=0
question=36/101 repeat=1/1 correct=yes latency=20.04s completion_tokens=2275 token_ps=113.52 progress=36/101 failures=0
question=37/101 repeat=1/1 correct=no latency=4.58s completion_tokens=502 token_ps=109.65 progress=37/101 failures=0
question=38/101 repeat=1/1 correct=yes latency=7.24s completion_tokens=804 token_ps=110.99 progress=38/101 failures=0
question=39/101 repeat=1/1 correct=yes latency=26.47s completion_tokens=3010 token_ps=113.71 progress=39/101 failures=0
question=40/101 repeat=1/1 correct=yes latency=9.95s completion_tokens=1112 token_ps=111.79 progress=40/101 failures=0
question=41/101 repeat=1/1 correct=yes latency=51.50s completion_tokens=5774 token_ps=112.12 progress=41/101 failures=0
question=42/101 repeat=1/1 correct=yes latency=10.44s completion_tokens=1174 token_ps=112.45 progress=42/101 failures=0
question=43/101 repeat=1/1 correct=yes latency=73.07s completion_tokens=8281 token_ps=113.33 progress=43/101 failures=0
question=44/101 repeat=1/1 correct=no latency=43.37s completion_tokens=4942 token_ps=113.94 progress=44/101 failures=0
question=45/101 repeat=1/1 correct=yes latency=3.15s completion_tokens=337 token_ps=107.15 progress=45/101 failures=0
question=46/101 repeat=1/1 correct=yes latency=2.79s completion_tokens=286 token_ps=102.64 progress=46/101 failures=0
question=47/101 repeat=1/1 correct=yes latency=21.95s completion_tokens=2487 token_ps=113.30 progress=47/101 failures=0
question=48/101 repeat=1/1 correct=yes latency=2.22s completion_tokens=227 token_ps=102.08 progress=48/101 failures=0
question=49/101 repeat=1/1 correct=no latency=172.16s completion_tokens=19403 token_ps=112.70 progress=49/101 failures=0
question=50/101 repeat=1/1 correct=yes latency=1.45s completion_tokens=140 token_ps=96.49 progress=50/101 failures=0
question=51/101 repeat=1/1 correct=yes latency=6.04s completion_tokens=671 token_ps=111.12 progress=51/101 failures=0
question=52/101 repeat=1/1 correct=yes latency=28.90s completion_tokens=3289 token_ps=113.79 progress=52/101 failures=0
question=53/101 repeat=1/1 correct=yes latency=8.47s completion_tokens=950 token_ps=112.12 progress=53/101 failures=0
question=54/101 repeat=1/1 correct=yes latency=2.87s completion_tokens=304 token_ps=105.84 progress=54/101 failures=0
question=55/101 repeat=1/1 correct=no latency=287.89s completion_tokens=32768 token_ps=113.82 progress=55/101 failures=0
question=56/101 repeat=1/1 correct=yes latency=27.92s completion_tokens=3013 token_ps=107.91 progress=56/101 failures=0
question=57/101 repeat=1/1 correct=yes latency=3.28s completion_tokens=353 token_ps=107.78 progress=57/101 failures=0
question=58/101 repeat=1/1 correct=yes latency=106.25s completion_tokens=12118 token_ps=114.05 progress=58/101 failures=0
question=59/101 repeat=1/1 correct=yes latency=9.02s completion_tokens=1014 token_ps=112.37 progress=59/101 failures=0
question=60/101 repeat=1/1 correct=yes latency=44.23s completion_tokens=5039 token_ps=113.93 progress=60/101 failures=0
question=61/101 repeat=1/1 correct=yes latency=60.91s completion_tokens=6894 token_ps=113.19 progress=61/101 failures=0
question=62/101 repeat=1/1 correct=yes latency=4.55s completion_tokens=498 token_ps=109.51 progress=62/101 failures=0
question=63/101 repeat=1/1 correct=yes latency=90.65s completion_tokens=10339 token_ps=114.06 progress=63/101 failures=0
question=64/101 repeat=1/1 correct=yes latency=21.16s completion_tokens=2406 token_ps=113.70 progress=64/101 failures=0
question=65/101 repeat=1/1 correct=yes latency=238.55s completion_tokens=27031 token_ps=113.31 progress=65/101 failures=0
question=66/101 repeat=1/1 correct=yes latency=13.46s completion_tokens=1391 token_ps=103.37 progress=66/101 failures=0
question=67/101 repeat=1/1 correct=yes latency=49.45s completion_tokens=5618 token_ps=113.61 progress=67/101 failures=0
question=68/101 repeat=1/1 correct=yes latency=140.27s completion_tokens=15830 token_ps=112.85 progress=68/101 failures=0
question=69/101 repeat=1/1 correct=yes latency=62.02s completion_tokens=7003 token_ps=112.92 progress=69/101 failures=0
question=70/101 repeat=1/1 correct=yes latency=34.40s completion_tokens=3906 token_ps=113.55 progress=70/101 failures=0
question=71/101 repeat=1/1 correct=yes latency=14.03s completion_tokens=1580 token_ps=112.61 progress=71/101 failures=0
question=72/101 repeat=1/1 correct=yes latency=14.34s completion_tokens=1616 token_ps=112.70 progress=72/101 failures=0
question=73/101 repeat=1/1 correct=yes latency=2.84s completion_tokens=266 token_ps=93.79 progress=73/101 failures=0
question=74/101 repeat=1/1 correct=yes latency=19.93s completion_tokens=2262 token_ps=113.48 progress=74/101 failures=0
question=75/101 repeat=1/1 correct=yes latency=126.19s completion_tokens=14323 token_ps=113.51 progress=75/101 failures=0
question=76/101 repeat=1/1 correct=yes latency=227.38s completion_tokens=25623 token_ps=112.69 progress=76/101 failures=0
question=77/101 repeat=1/1 correct=yes latency=9.68s completion_tokens=1089 token_ps=112.44 progress=77/101 failures=0
question=78/101 repeat=1/1 correct=yes latency=222.91s completion_tokens=25274 token_ps=113.38 progress=78/101 failures=0
question=79/101 repeat=1/1 correct=no latency=21.97s completion_tokens=2500 token_ps=113.79 progress=79/101 failures=0
question=80/101 repeat=1/1 correct=yes latency=50.68s completion_tokens=5772 token_ps=113.90 progress=80/101 failures=0
question=81/101 repeat=1/1 correct=yes latency=73.40s completion_tokens=8363 token_ps=113.93 progress=81/101 failures=0
question=82/101 repeat=1/1 correct=yes latency=5.64s completion_tokens=618 token_ps=109.53 progress=82/101 failures=0
question=83/101 repeat=1/1 correct=yes latency=3.18s completion_tokens=342 token_ps=107.58 progress=83/101 failures=0
question=84/101 repeat=1/1 correct=yes latency=115.71s completion_tokens=13078 token_ps=113.02 progress=84/101 failures=0
question=85/101 repeat=1/1 correct=yes latency=44.71s completion_tokens=5089 token_ps=113.82 progress=85/101 failures=0
