[prune25] evaluating agent_os
dataset=agent_os model=/mnt/docker_data/v4-converted/v4-prune25-keep192 total=26 resumed=0 pending=26 workers=1 run=920a41be95b5af20
question=1/26 repeat=1/1 correct=yes latency=1.92s completion_tokens=179 token_ps=93.20 progress=1/26 failures=0
question=2/26 repeat=1/1 correct=yes latency=0.87s completion_tokens=67 token_ps=77.26 progress=2/26 failures=0
question=3/26 repeat=1/1 correct=yes latency=1.16s completion_tokens=109 token_ps=93.80 progress=3/26 failures=0
question=4/26 repeat=1/1 correct=yes latency=2.40s completion_tokens=254 token_ps=105.64 progress=4/26 failures=0
question=5/26 repeat=1/1 correct=yes latency=2.37s completion_tokens=248 token_ps=104.77 progress=5/26 failures=0
question=6/26 repeat=1/1 correct=yes latency=0.93s completion_tokens=87 token_ps=93.80 progress=6/26 failures=0
question=7/26 repeat=1/1 correct=yes latency=3.99s completion_tokens=438 token_ps=109.78 progress=7/26 failures=0
question=8/26 repeat=1/1 correct=yes latency=4.29s completion_tokens=470 token_ps=109.51 progress=8/26 failures=0
question=9/26 repeat=1/1 correct=no latency=4.17s completion_tokens=454 token_ps=108.91 progress=9/26 failures=0
question=10/26 repeat=1/1 correct=yes latency=11.20s completion_tokens=1261 token_ps=112.58 progress=10/26 failures=0
question=11/26 repeat=1/1 correct=yes latency=4.48s completion_tokens=493 token_ps=110.04 progress=11/26 failures=0
question=12/26 repeat=1/1 correct=yes latency=5.10s completion_tokens=564 token_ps=110.64 progress=12/26 failures=0
question=13/26 repeat=1/1 correct=yes latency=1.27s completion_tokens=126 token_ps=99.32 progress=13/26 failures=0
question=14/26 repeat=1/1 correct=yes latency=24.23s completion_tokens=2719 token_ps=112.23 progress=14/26 failures=0
question=15/26 repeat=1/1 correct=yes latency=16.30s completion_tokens=1842 token_ps=113.00 progress=15/26 failures=0
question=16/26 repeat=1/1 correct=yes latency=2.90s completion_tokens=310 token_ps=107.06 progress=16/26 failures=0
question=17/26 repeat=1/1 correct=yes latency=3.07s completion_tokens=333 token_ps=108.38 progress=17/26 failures=0
question=18/26 repeat=1/1 correct=yes latency=7.97s completion_tokens=894 token_ps=112.11 progress=18/26 failures=0
question=19/26 repeat=1/1 correct=yes latency=5.88s completion_tokens=653 token_ps=111.11 progress=19/26 failures=0
question=20/26 repeat=1/1 correct=no latency=12.65s completion_tokens=1426 token_ps=112.77 progress=20/26 failures=0
question=21/26 repeat=1/1 correct=yes latency=1.91s completion_tokens=201 token_ps=104.98 progress=21/26 failures=0
question=22/26 repeat=1/1 correct=yes latency=3.09s completion_tokens=335 token_ps=108.43 progress=22/26 failures=0
question=23/26 repeat=1/1 correct=yes latency=1.99s completion_tokens=210 token_ps=105.28 progress=23/26 failures=0
question=24/26 repeat=1/1 correct=yes latency=3.79s completion_tokens=415 token_ps=109.64 progress=24/26 failures=0
question=25/26 repeat=1/1 correct=yes latency=2.39s completion_tokens=255 token_ps=106.51 progress=25/26 failures=0
question=26/26 repeat=1/1 correct=yes latency=4.52s completion_tokens=499 token_ps=110.49 progress=26/26 failures=0
agent_os: 92.31% (24 / 26 scored; 0 unscored); output=/home/jovyan/wangtonghan/EASYEP/results/easyep_reproduction/v4flash_agentos_gpqa_kuvecodebench_20260818/prune25/evaluation/agent_os.jsonl
