[prune25] evaluating gpqa
dataset=gpqa model=/mnt/docker_data/v4-converted/v4-prune25-keep192 total=249 resumed=0 pending=249 workers=1 run=18da8ccfe678c687
question=1/249 repeat=1/1 correct=yes latency=23.75s completion_tokens=2676 token_ps=112.66 progress=1/249 failures=0
question=2/249 repeat=1/1 correct=yes latency=56.42s completion_tokens=6388 token_ps=113.22 progress=2/249 failures=0
question=3/249 repeat=1/1 correct=no latency=13.68s completion_tokens=1523 token_ps=111.29 progress=3/249 failures=0
question=4/249 repeat=1/1 correct=no latency=53.45s completion_tokens=6033 token_ps=112.87 progress=4/249 failures=0
question=5/249 repeat=1/1 correct=yes latency=26.02s completion_tokens=2864 token_ps=110.09 progress=5/249 failures=0
question=6/249 repeat=1/1 correct=no latency=2.53s completion_tokens=268 token_ps=105.94 progress=6/249 failures=0
question=7/249 repeat=1/1 correct=yes latency=16.32s completion_tokens=1851 token_ps=113.43 progress=7/249 failures=0
question=8/249 repeat=1/1 correct=yes latency=4.90s completion_tokens=544 token_ps=111.00 progress=8/249 failures=0
question=9/249 repeat=1/1 correct=no latency=16.22s completion_tokens=1840 token_ps=113.42 progress=9/249 failures=0
question=10/249 repeat=1/1 correct=no latency=272.70s completion_tokens=30881 token_ps=113.24 progress=10/249 failures=0
question=11/249 repeat=1/1 correct=yes latency=10.26s completion_tokens=1153 token_ps=112.40 progress=11/249 failures=0
question=12/249 repeat=1/1 correct=yes latency=80.41s completion_tokens=9069 token_ps=112.79 progress=12/249 failures=0
question=13/249 repeat=1/1 correct=yes latency=19.22s completion_tokens=2177 token_ps=113.28 progress=13/249 failures=0
question=14/249 repeat=1/1 correct=yes latency=8.82s completion_tokens=990 token_ps=112.31 progress=14/249 failures=0
question=15/249 repeat=1/1 correct=yes latency=34.49s completion_tokens=3914 token_ps=113.47 progress=15/249 failures=0
question=16/249 repeat=1/1 correct=yes latency=61.27s completion_tokens=6956 token_ps=113.53 progress=16/249 failures=0
question=17/249 repeat=1/1 correct=yes latency=32.37s completion_tokens=3673 token_ps=113.46 progress=17/249 failures=0
question=18/249 repeat=1/1 correct=yes latency=220.76s completion_tokens=24984 token_ps=113.17 progress=18/249 failures=0
