[prune25] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/docker_data/v4-converted/v4-prune25-keep192 total=101 resumed=0 pending=101 workers=1 run=03753d0c533b797a
question=1/101 repeat=1/1 correct=yes latency=3.78s completion_tokens=397 token_ps=105.05 progress=1/101 failures=0
question=2/101 repeat=1/1 correct=yes latency=114.20s completion_tokens=12944 token_ps=113.35 progress=2/101 failures=0
question=3/101 repeat=1/1 correct=yes latency=11.19s completion_tokens=1246 token_ps=111.36 progress=3/101 failures=0
question=4/101 repeat=1/1 correct=no latency=119.63s completion_tokens=13563 token_ps=113.37 progress=4/101 failures=0
question=5/101 repeat=1/1 correct=yes latency=10.69s completion_tokens=1197 token_ps=111.93 progress=5/101 failures=0
question=6/101 repeat=1/1 correct=yes latency=31.18s completion_tokens=3531 token_ps=113.25 progress=6/101 failures=0
question=7/101 repeat=1/1 correct=yes latency=12.33s completion_tokens=1387 token_ps=112.52 progress=7/101 failures=0
question=8/101 repeat=1/1 correct=yes latency=5.94s completion_tokens=656 token_ps=110.51 progress=8/101 failures=0
question=9/101 repeat=1/1 correct=yes latency=3.81s completion_tokens=406 token_ps=106.61 progress=9/101 failures=0
question=10/101 repeat=1/1 correct=yes latency=71.27s completion_tokens=8079 token_ps=113.36 progress=10/101 failures=0
question=11/101 repeat=1/1 correct=yes latency=55.30s completion_tokens=6268 token_ps=113.35 progress=11/101 failures=0
question=12/101 repeat=1/1 correct=yes latency=194.59s completion_tokens=22048 token_ps=113.30 progress=12/101 failures=0
question=13/101 repeat=1/1 correct=yes latency=3.22s completion_tokens=334 token_ps=103.80 progress=13/101 failures=0
question=14/101 repeat=1/1 correct=yes latency=3.38s completion_tokens=361 token_ps=106.73 progress=14/101 failures=0
question=15/101 repeat=1/1 correct=yes latency=3.44s completion_tokens=370 token_ps=107.53 progress=15/101 failures=0
question=16/101 repeat=1/1 correct=yes latency=2.56s completion_tokens=271 token_ps=105.77 progress=16/101 failures=0
question=17/101 repeat=1/1 correct=yes latency=4.32s completion_tokens=472 token_ps=109.15 progress=17/101 failures=0
question=18/101 repeat=1/1 correct=yes latency=259.99s completion_tokens=29425 token_ps=113.18 progress=18/101 failures=0
question=19/101 repeat=1/1 correct=yes latency=38.93s completion_tokens=4406 token_ps=113.19 progress=19/101 failures=0
question=20/101 repeat=1/1 correct=yes latency=17.27s completion_tokens=1948 token_ps=112.79 progress=20/101 failures=0
question=21/101 repeat=1/1 correct=yes latency=1.75s completion_tokens=172 token_ps=98.15 progress=21/101 failures=0
question=22/101 repeat=1/1 correct=yes latency=23.88s completion_tokens=2697 token_ps=112.92 progress=22/101 failures=0
question=23/101 repeat=1/1 correct=yes latency=6.30s completion_tokens=689 token_ps=109.45 progress=23/101 failures=0
question=24/101 repeat=1/1 correct=yes latency=19.50s completion_tokens=2203 token_ps=112.95 progress=24/101 failures=0
question=25/101 repeat=1/1 correct=yes latency=5.09s completion_tokens=553 token_ps=108.71 progress=25/101 failures=0
question=26/101 repeat=1/1 correct=yes latency=1.97s completion_tokens=196 token_ps=99.40 progress=26/101 failures=0
question=27/101 repeat=1/1 correct=yes latency=2.47s completion_tokens=255 token_ps=103.18 progress=27/101 failures=0
question=28/101 repeat=1/1 correct=yes latency=65.36s completion_tokens=7304 token_ps=111.75 progress=28/101 failures=0
question=29/101 repeat=1/1 correct=yes latency=195.55s completion_tokens=22128 token_ps=113.16 progress=29/101 failures=0
question=30/101 repeat=1/1 correct=yes latency=1.86s completion_tokens=184 token_ps=98.92 progress=30/101 failures=0
question=31/101 repeat=1/1 correct=yes latency=2.11s completion_tokens=213 token_ps=101.13 progress=31/101 failures=0
question=32/101 repeat=1/1 correct=yes latency=2.98s completion_tokens=311 token_ps=104.46 progress=32/101 failures=0
question=33/101 repeat=1/1 correct=yes latency=3.61s completion_tokens=390 token_ps=107.89 progress=33/101 failures=0
question=34/101 repeat=1/1 correct=yes latency=27.47s completion_tokens=3102 token_ps=112.91 progress=34/101 failures=0
question=35/101 repeat=1/1 correct=yes latency=4.42s completion_tokens=482 token_ps=108.95 progress=35/101 failures=0
question=36/101 repeat=1/1 correct=yes latency=25.01s completion_tokens=2828 token_ps=113.09 progress=36/101 failures=0
question=37/101 repeat=1/1 correct=no latency=5.13s completion_tokens=560 token_ps=109.26 progress=37/101 failures=0
question=38/101 repeat=1/1 correct=yes latency=6.13s completion_tokens=669 token_ps=109.17 progress=38/101 failures=0
question=39/101 repeat=1/1 correct=yes latency=28.66s completion_tokens=3237 token_ps=112.94 progress=39/101 failures=0
question=40/101 repeat=1/1 correct=yes latency=8.02s completion_tokens=890 token_ps=110.93 progress=40/101 failures=0
question=41/101 repeat=1/1 correct=no latency=53.52s completion_tokens=6065 token_ps=113.32 progress=41/101 failures=0
question=42/101 repeat=1/1 correct=yes latency=7.09s completion_tokens=787 token_ps=111.00 progress=42/101 failures=0
question=43/101 repeat=1/1 correct=yes latency=68.93s completion_tokens=7764 token_ps=112.64 progress=43/101 failures=0
question=44/101 repeat=1/1 correct=no latency=24.56s completion_tokens=2774 token_ps=112.95 progress=44/101 failures=0
question=45/101 repeat=1/1 correct=yes latency=4.30s completion_tokens=469 token_ps=108.99 progress=45/101 failures=0
question=46/101 repeat=1/1 correct=yes latency=2.00s completion_tokens=196 token_ps=97.81 progress=46/101 failures=0
question=47/101 repeat=1/1 correct=yes latency=15.64s completion_tokens=1759 token_ps=112.45 progress=47/101 failures=0
question=48/101 repeat=1/1 correct=yes latency=2.34s completion_tokens=235 token_ps=100.38 progress=48/101 failures=0
question=49/101 repeat=1/1 correct=no latency=257.11s completion_tokens=29064 token_ps=113.04 progress=49/101 failures=0
question=50/101 repeat=1/1 correct=yes latency=1.79s completion_tokens=179 token_ps=99.99 progress=50/101 failures=0
question=51/101 repeat=1/1 correct=yes latency=10.44s completion_tokens=1168 token_ps=111.92 progress=51/101 failures=0
question=52/101 repeat=1/1 correct=yes latency=25.71s completion_tokens=2901 token_ps=112.84 progress=52/101 failures=0
question=53/101 repeat=1/1 correct=yes latency=5.73s completion_tokens=630 token_ps=110.03 progress=53/101 failures=0
question=54/101 repeat=1/1 correct=yes latency=3.30s completion_tokens=351 token_ps=106.32 progress=54/101 failures=0
question=55/101 repeat=1/1 correct=no latency=289.54s completion_tokens=32768 token_ps=113.17 progress=55/101 failures=0
question=56/101 repeat=1/1 correct=yes latency=54.80s completion_tokens=5943 token_ps=108.46 progress=56/101 failures=0
question=57/101 repeat=1/1 correct=yes latency=2.99s completion_tokens=319 token_ps=106.59 progress=57/101 failures=0
