[prune50] evaluating gpqa
dataset=gpqa model=/mnt/docker_data/v4-converted/v4-prune50-keep128 total=249 resumed=0 pending=249 workers=1 run=806a262c732947a2
question=1/249 repeat=1/1 correct=yes latency=40.42s completion_tokens=4596 token_ps=113.69 progress=1/249 failures=0
question=2/249 repeat=1/1 correct=yes latency=83.56s completion_tokens=9506 token_ps=113.76 progress=2/249 failures=0
question=3/249 repeat=1/1 correct=yes latency=8.11s completion_tokens=910 token_ps=112.16 progress=3/249 failures=0
question=4/249 repeat=1/1 correct=no latency=29.21s completion_tokens=3325 token_ps=113.83 progress=4/249 failures=0
question=5/249 repeat=1/1 correct=yes latency=26.31s completion_tokens=2994 token_ps=113.79 progress=5/249 failures=0
question=6/249 repeat=1/1 correct=no latency=73.67s completion_tokens=8391 token_ps=113.89 progress=6/249 failures=0
question=7/249 repeat=1/1 correct=yes latency=41.84s completion_tokens=4764 token_ps=113.85 progress=7/249 failures=0
question=8/249 repeat=1/1 correct=yes latency=7.25s completion_tokens=815 token_ps=112.36 progress=8/249 failures=0
question=9/249 repeat=1/1 correct=no latency=8.68s completion_tokens=980 token_ps=112.89 progress=9/249 failures=0
question=10/249 repeat=1/1 correct=yes latency=210.15s completion_tokens=23875 token_ps=113.61 progress=10/249 failures=0
question=11/249 repeat=1/1 correct=yes latency=71.82s completion_tokens=8179 token_ps=113.88 progress=11/249 failures=0
question=12/249 repeat=1/1 correct=no latency=288.52s completion_tokens=32768 token_ps=113.57 progress=12/249 failures=0
question=13/249 repeat=1/1 correct=yes latency=23.18s completion_tokens=2634 token_ps=113.62 progress=13/249 failures=0
question=14/249 repeat=1/1 correct=yes latency=11.69s completion_tokens=1325 token_ps=113.31 progress=14/249 failures=0
question=15/249 repeat=1/1 correct=no latency=288.59s completion_tokens=32768 token_ps=113.55 progress=15/249 failures=0
question=16/249 repeat=1/1 correct=no latency=19.84s completion_tokens=2258 token_ps=113.82 progress=16/249 failures=0
question=17/249 repeat=1/1 correct=yes latency=20.18s completion_tokens=2295 token_ps=113.75 progress=17/249 failures=0
question=18/249 repeat=1/1 correct=no latency=288.32s completion_tokens=32768 token_ps=113.65 progress=18/249 failures=0
question=19/249 repeat=1/1 correct=yes latency=1.03s completion_tokens=99 token_ps=96.01 progress=19/249 failures=0
question=20/249 repeat=1/1 correct=yes latency=5.32s completion_tokens=594 token_ps=111.59 progress=20/249 failures=0
question=21/249 repeat=1/1 correct=yes latency=5.18s completion_tokens=577 token_ps=111.48 progress=21/249 failures=0
question=22/249 repeat=1/1 correct=no latency=137.62s completion_tokens=15660 token_ps=113.79 progress=22/249 failures=0
question=23/249 repeat=1/1 correct=no latency=288.37s completion_tokens=32768 token_ps=113.63 progress=23/249 failures=0
question=24/249 repeat=1/1 correct=yes latency=11.58s completion_tokens=1311 token_ps=113.17 progress=24/249 failures=0
question=25/249 repeat=1/1 correct=no latency=11.20s completion_tokens=1268 token_ps=113.17 progress=25/249 failures=0
question=26/249 repeat=1/1 correct=no latency=62.97s completion_tokens=7173 token_ps=113.90 progress=26/249 failures=0
question=27/249 repeat=1/1 correct=yes latency=82.88s completion_tokens=9435 token_ps=113.84 progress=27/249 failures=0
question=28/249 repeat=1/1 correct=no latency=288.36s completion_tokens=32768 token_ps=113.64 progress=28/249 failures=0
question=29/249 repeat=1/1 correct=no latency=89.08s completion_tokens=10139 token_ps=113.82 progress=29/249 failures=0
question=30/249 repeat=1/1 correct=no latency=288.40s completion_tokens=32768 token_ps=113.62 progress=30/249 failures=0
question=31/249 repeat=1/1 correct=no latency=9.06s completion_tokens=1022 token_ps=112.84 progress=31/249 failures=0
question=32/249 repeat=1/1 correct=no latency=53.40s completion_tokens=6065 token_ps=113.58 progress=32/249 failures=0
question=33/249 repeat=1/1 correct=yes latency=223.72s completion_tokens=25434 token_ps=113.69 progress=33/249 failures=0
question=34/249 repeat=1/1 correct=no latency=14.82s completion_tokens=1683 token_ps=113.52 progress=34/249 failures=0
question=35/249 repeat=1/1 correct=no latency=9.42s completion_tokens=1065 token_ps=113.03 progress=35/249 failures=0
question=36/249 repeat=1/1 correct=no latency=55.32s completion_tokens=6294 token_ps=113.78 progress=36/249 failures=0
question=37/249 repeat=1/1 correct=yes latency=53.34s completion_tokens=6074 token_ps=113.87 progress=37/249 failures=0
question=38/249 repeat=1/1 correct=yes latency=87.16s completion_tokens=9923 token_ps=113.84 progress=38/249 failures=0
question=39/249 repeat=1/1 correct=no latency=288.80s completion_tokens=32768 token_ps=113.46 progress=39/249 failures=0
question=40/249 repeat=1/1 correct=yes latency=15.03s completion_tokens=1706 token_ps=113.53 progress=40/249 failures=0
question=41/249 repeat=1/1 correct=yes latency=5.21s completion_tokens=580 token_ps=111.31 progress=41/249 failures=0
question=42/249 repeat=1/1 correct=yes latency=259.05s completion_tokens=29440 token_ps=113.64 progress=42/249 failures=0
question=43/249 repeat=1/1 correct=no latency=16.10s completion_tokens=1831 token_ps=113.72 progress=43/249 failures=0
question=44/249 repeat=1/1 correct=yes latency=61.33s completion_tokens=6985 token_ps=113.90 progress=44/249 failures=0
question=45/249 repeat=1/1 correct=no latency=288.35s completion_tokens=32768 token_ps=113.64 progress=45/249 failures=0
question=46/249 repeat=1/1 correct=yes latency=225.92s completion_tokens=25689 token_ps=113.71 progress=46/249 failures=0
question=47/249 repeat=1/1 correct=no latency=288.33s completion_tokens=32768 token_ps=113.65 progress=47/249 failures=0
question=48/249 repeat=1/1 correct=yes latency=114.28s completion_tokens=12773 token_ps=111.77 progress=48/249 failures=0
question=49/249 repeat=1/1 correct=yes latency=20.84s completion_tokens=2371 token_ps=113.76 progress=49/249 failures=0
question=50/249 repeat=1/1 correct=no latency=288.91s completion_tokens=32768 token_ps=113.42 progress=50/249 failures=0
question=51/249 repeat=1/1 correct=yes latency=19.10s completion_tokens=2171 token_ps=113.67 progress=51/249 failures=0
question=52/249 repeat=1/1 correct=no latency=288.30s completion_tokens=32768 token_ps=113.66 progress=52/249 failures=0
question=53/249 repeat=1/1 correct=yes latency=16.16s completion_tokens=1838 token_ps=113.76 progress=53/249 failures=0
question=54/249 repeat=1/1 correct=no latency=288.59s completion_tokens=32768 token_ps=113.55 progress=54/249 failures=0
question=55/249 repeat=1/1 correct=yes latency=135.98s completion_tokens=15473 token_ps=113.79 progress=55/249 failures=0
question=56/249 repeat=1/1 correct=no latency=107.36s completion_tokens=12218 token_ps=113.80 progress=56/249 failures=0
question=57/249 repeat=1/1 correct=no latency=291.50s completion_tokens=32768 token_ps=112.41 progress=57/249 failures=0
question=58/249 repeat=1/1 correct=no latency=14.65s completion_tokens=1665 token_ps=113.64 progress=58/249 failures=0
question=59/249 repeat=1/1 correct=no latency=115.37s completion_tokens=13133 token_ps=113.84 progress=59/249 failures=0
question=60/249 repeat=1/1 correct=no latency=288.31s completion_tokens=32768 token_ps=113.65 progress=60/249 failures=0
question=61/249 repeat=1/1 correct=no latency=7.49s completion_tokens=842 token_ps=112.37 progress=61/249 failures=0
question=62/249 repeat=1/1 correct=no latency=74.57s completion_tokens=8492 token_ps=113.88 progress=62/249 failures=0
question=63/249 repeat=1/1 correct=yes latency=18.34s completion_tokens=2086 token_ps=113.74 progress=63/249 failures=0
question=64/249 repeat=1/1 correct=no latency=14.72s completion_tokens=1673 token_ps=113.62 progress=64/249 failures=0
question=65/249 repeat=1/1 correct=no latency=145.41s completion_tokens=16545 token_ps=113.78 progress=65/249 failures=0
question=66/249 repeat=1/1 correct=yes latency=46.66s completion_tokens=5312 token_ps=113.84 progress=66/249 failures=0
question=67/249 repeat=1/1 correct=no latency=288.62s completion_tokens=32768 token_ps=113.54 progress=67/249 failures=0
