[prune50] evaluating kuvecodebench
dataset=kuvecodebench model=/mnt/docker_data/v4-converted/v4-prune50-keep128 total=101 resumed=0 pending=101 workers=1 run=009271a3d9cf2641
question=1/101 repeat=1/1 correct=yes latency=2.73s completion_tokens=284 token_ps=103.94 progress=1/101 failures=0
question=2/101 repeat=1/1 correct=yes latency=152.78s completion_tokens=17368 token_ps=113.68 progress=2/101 failures=0
question=3/101 repeat=1/1 correct=no latency=12.79s completion_tokens=1446 token_ps=113.07 progress=3/101 failures=0
question=4/101 repeat=1/1 correct=yes latency=150.07s completion_tokens=17066 token_ps=113.72 progress=4/101 failures=0
question=5/101 repeat=1/1 correct=yes latency=21.74s completion_tokens=2462 token_ps=113.23 progress=5/101 failures=0
question=6/101 repeat=1/1 correct=yes latency=11.83s completion_tokens=1335 token_ps=112.84 progress=6/101 failures=0
question=7/101 repeat=1/1 correct=yes latency=6.51s completion_tokens=723 token_ps=111.13 progress=7/101 failures=0
question=8/101 repeat=1/1 correct=yes latency=5.13s completion_tokens=566 token_ps=110.23 progress=8/101 failures=0
question=9/101 repeat=1/1 correct=yes latency=3.79s completion_tokens=407 token_ps=107.50 progress=9/101 failures=0
question=10/101 repeat=1/1 correct=yes latency=202.77s completion_tokens=22833 token_ps=112.60 progress=10/101 failures=0
question=11/101 repeat=1/1 correct=yes latency=51.08s completion_tokens=5815 token_ps=113.85 progress=11/101 failures=0
question=12/101 repeat=1/1 correct=yes latency=247.37s completion_tokens=28149 token_ps=113.79 progress=12/101 failures=0
question=13/101 repeat=1/1 correct=yes latency=2.82s completion_tokens=292 token_ps=103.58 progress=13/101 failures=0
question=14/101 repeat=1/1 correct=yes latency=17.88s completion_tokens=2032 token_ps=113.62 progress=14/101 failures=0
question=15/101 repeat=1/1 correct=yes latency=4.06s completion_tokens=443 token_ps=108.98 progress=15/101 failures=0
question=16/101 repeat=1/1 correct=yes latency=3.13s completion_tokens=337 token_ps=107.60 progress=16/101 failures=0
question=17/101 repeat=1/1 correct=yes latency=3.34s completion_tokens=360 token_ps=107.94 progress=17/101 failures=0
question=18/101 repeat=1/1 correct=no latency=287.97s completion_tokens=32768 token_ps=113.79 progress=18/101 failures=0
question=19/101 repeat=1/1 correct=no latency=38.18s completion_tokens=4348 token_ps=113.89 progress=19/101 failures=0
question=20/101 repeat=1/1 correct=yes latency=25.53s completion_tokens=2882 token_ps=112.88 progress=20/101 failures=0
question=21/101 repeat=1/1 correct=yes latency=1.48s completion_tokens=142 token_ps=96.16 progress=21/101 failures=0
question=22/101 repeat=1/1 correct=yes latency=101.20s completion_tokens=11527 token_ps=113.90 progress=22/101 failures=0
question=23/101 repeat=1/1 correct=yes latency=4.28s completion_tokens=462 token_ps=107.83 progress=23/101 failures=0
question=24/101 repeat=1/1 correct=yes latency=12.91s completion_tokens=1462 token_ps=113.26 progress=24/101 failures=0
